sad,i know i was listenin to bad habit earlier and i started freakin at his part =[
sad,Layin n bed with a headache ughhhh...waitin on your call...
sad,Funeral ceremony...gloomy friday...
excited,wants to hang out with friends SOON!
neutral,"We want to trade with someone who has Houston tickets, but no one will."
worry,Re-pinging why didn't you go to prom? BC my bf didn't like my friends
sad,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
worry,Hmmm. http://www.djhero.com/ is down
sad,Charlene my love. I miss you
sad,I'm sorry at least it's Friday?
neutral,cant fall asleep
worry,Choked on her retainers
sad,Ugh! I have to beat this stupid song to get to the next rude!
sad,if u watch the hills in london u will realise what tourture it is because were weeks and weeks late i just watch itonlinelol
excited,Got the news
sad,The storm is here and the electricity is gone
love,agreed
sad,So sleepy again and it's not even that late. I fail once again.
worry,lady gaga tweeted about not being impressed by her video leaking just so you know
sad,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
worry,oh too bad! I hope it gets better. I've been having sleep issues lately too
excited,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
neutral,No Topic Maps talks at the Balisage Markup Conference 2009 Program online at http://tr.im/mL6Z (via #topicmaps
worry,I ate Something I don't know what it is... Why do I keep Telling things about food
sad,so tired and i think i'm definitely going to get an ear infection. going to bed &quot;early&quot; for once.
worry,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old
sad,"i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
worry,Damm servers still down i need to hit 80 before all the koxpers pass me
sad,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school..... time to sleep!!!!!!!!!!!
worry,I HATE CANCER. I HATE IT I HATE IT I HATE IT.
anger,It is so annoying when she starts typing on her computer in the middle of the night!
neutral,i cant sleep
neutral,I missed the bl***y bus!!!!!!!!
neutral,feels strong contractions but wants to go out. http://plurk.com/p/wxidk
neutral,SoCal! stoked. or maybe not.. tomorrow
neutral,Screw you I only have 3 weeks...
sad,yeah :S i feel all funny cause i haven't slept enough i woke my mum up cause i was singing she's not impressed :S you?
worry,I need skott right now
neutral,has work this afternoon
neutral,Aw you would not unfollow me would you? Then I would cry
happy,mmm much better day... so far! it's still quite early. last day of #uds
excited,&lt;3 your gonna be the first twitter ;) cause your amazing lol. come to canada would do anything to see you perform
worry,just picked up her Blackberry from the middle of the street! Both she and it are crushed!
worry,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...
sad,middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken
worry,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now"
worry,"Ahh. ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also"
sad,I'm having a problem with my photo here in twitter amf!!!...can't see my face!
neutral,oh noooo! if i blow a tire you're reaaaally going to have to send up some batman smoke.
neutral,wnna take a bath!!!!
neutral,Chocolate milk is so much better through a straw. I lack said straw
worry,why am i so tired?
sad,hey yu lil fucker i textd yu
neutral,"time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs"
neutral,no way! damn that sucks B! are you ok?
worry,sucks not being able to take days off of work or have the money to take the trip so sad
excited,"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to"
neutral,the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope
neutral,But I got dibs on Sulu...
sad,"Aww Onward and upwards now, yay! Still sad to leave I bet."
worry,at once haha. poor aby still gets sore!
sad,diesel yaris... 70mpg so sad its not available in the US. That'd be awesome.
sad,I want to buy this great album but unfortunately i dont hav enuff funds its &quot;long time noisy&quot;
sad,in all honesty...pain blech.
sad,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
neutral,At home alone with not much to do
worry,ia so much! i haven't really been happy with any of cooks choices for singles.
sad,i fell asleep on the beach and didn't put on enough sunscreen lol
worry,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess Poor pumkpin
happy,"So great to see Oin &amp; Cynthia. So happy. Dinner was great, cute little place. Too bad Oin got sick afterwards."
neutral,I cant give any bday nudges.
worry,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him'
neutral,Brothers Bloom won't be opening this weekend in El Paso. I'll just buy Brick and enjoy that until I can watch Brothers Bloom.
neutral,says I miss plurking. http://plurk.com/p/wxion
worry,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water"
neutral,I miss Voobys!
neutral,Neither are ELP!!
happy,"dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
worry,is sad that shin ae got married...and it wasn't to alex
worry,"Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today. Muy triste."
sad,ohh thursday i have exams.. all day what about wednesday ?
neutral,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.
sad,"i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
worry,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now.."
sad,I love those 'it'sakey' USB sticks. We only have the 4GB in Australia
worry,fresh prince and sleepy sleeps my nightly routine gotta go to Dmv early tmrw
anger,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code
worry,i am jealous of your mom talking to i want to see you all our twittering is making me miss you
worry,I can't sleep...I keep thinking about the puppy I played with today
worry,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot; blaahh
neutral,what's going on sweetheart?
neutral,"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows"
worry,"Last one month due to summer, strawberry is not availble in the Chennai markets!"
neutral,work at 6am. Gotta go to bed soon
love,correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin. All better now! Hahaha
sad,hiii im on my ipod...i cant fall asleep
sad,dont wanna work 11-830 tomorrow but i get paid
sad,feels sad coz i wasnt able to play with the guys!!! http://plurk.com/p/wxiux
neutral,PrinceCharming
anger,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
worry,First ever dropped call on my mobile. On a call to no less! ( being charged for data even though I have a data pack )
anger,You win ... SIGH Rakeem
neutral,Oh is that time for real?
sad,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either
worry,Oh no one minute too late! Oh well
anger,"Damn, that sucks"
sad,i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
anger,THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up
worry,ahh! big scary bug flying around my room!!!!!
sad,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!"
worry,is up with a nasty cough i cant be sick i have a huge weekend ahead of me
neutral,That was stone cold Crazy.... ?
neutral,shift time bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo
neutral,I'm sure some1 will cum out and play. I'm workin through til midnight.
neutral,I second that. I wish it rained more where I am
sad,early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine! misshu! Love ya!
neutral,damn it were is Eric or anyone else when you need your hair to be played with
neutral,I'm feel deflated. Ugh. No more dog.
sad,Allergies suck ducks nuts. &lt;=====8
neutral,Well it almost was a good day... Guess I just retry tomorrow
anger,Waraku is tasteless and expensive! Portion is so little!!!!! re: waraku
love,sounds good. Appreciate the suggestion. Been a week now and we're still offline Time to ask for a refund...
worry,"He died. Wait, what about Magic Jack? I just read it."
anger,youstinkatrespondingtotexts!
sad,wonders why her Karma points turned into 0.00. http://plurk.com/p/wxj54
happy,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho."
sad,Is miserable i feel like im gona cry sux!
neutral,well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh Gonna be a long nite methinks.
worry,$#My nose stud fell out and I can't find it Looks like I'll have to head into Amsterdam today and get a new one
neutral,"claire love the show, got into the office @ 5am and no radio"
love,Pats in philly at 2 am. I love it. Mmm cheesesteak. Miss my boyfriend but I love vacation.
sad,*sigh* I'm going to bed... I just don't feel right anymore...
neutral,What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.
neutral,EpiCentre Wheelock Place - tourists only..
sad,Now I am depressed after watching so you think you can dance
sad,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh"
neutral,miss 16'th
neutral,"I know. But like I said, I have no idea how long it takes for them to investigate this stuff."
worry,"I cant sleep, but im too sore to move"
neutral,http://twitpic.com/4phze - Awe! I miss my baby
sad,just answered you- never learned how to write in French- just basic stuff-
neutral,what is it with chocolates? i just can never say no
worry,Achieving a new appreciation on how a xml build script can really be painful and cumbersome
neutral,i'm too awake now ill have a nap this afternoon
worry,i cant do anything
neutral,still needs another 6 hours of sleep
relief,I'm at work
excited,RIP leonardo. You were a great mini fiddler crab
neutral,"Morning tweeple,way to early again"
sad,"Last day working for the Uni today, sad times"
love,"thanks neemah. I'm gonna be soooo close to you and izzy, yet so far"
worry,My head hurts so bad I could scream!
worry,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain
worry,New work wellness challenge not going well. I committed to not check email between 10 pm and 6 am. Failed on first day. Twice
worry,New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless ...) .. Meanw ...
neutral,"where are all ma bestfriends at ? , MIA or wat ?"
worry,oh men!!!!!!......I really can't see my face........c'mon guys!!!
worry,"I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old"
worry,my sole supporter is not my sole supporter
anger,don't you hate it when you finish all your work and there's still 1.25 hours left of work time
worry,urgh stop it guys
sad,is still missing her husband. I really want him home.
sad,I miss my puppy
excited,"2 days of this month left, and I only have 400MB left on my onpeak downloads."
excited,Up is out? I didn't get the memo It looks amazing.
sad,I've given up on pizza - kids would never let me have my fav (the hot ones)
worry,Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?
sad,yearling in pet home died... very sad for their whole family
