happy,ncteacher77 i appreciate you
neutral,"s, and be honet only you and other 2 people follow me"
sad,i want a new ui but i dont want to actually set it up myself
happy,tommcfly is it true that you love brazil more than australia nitey
neutral,"laflour good suggestions, thanks"
happy,got six feet under series 1 on dvd
neutral,wlauw yea dongggg
happy,good morning tweeties
neutral,maybe i should go see the other 4 movies as matinees this week i dont go in until 4pm as its my night shift week coming up
happy,mothers day family dinner on a rainy sunday night
sad,hollsh i want to come over
happy,cynthia and jenny are spamming my twitter haha
sad,tommcfly im depressed  i want to know you and kiss you all
relief,yay my temperature went down i can have dinner with the family tonight
sad,misskrenee on a saturday not so cool friend same job different position let me know when your in town again miss u
sad,kimberley thats coz we love you
happy,futureperfect im trying to self learn photoshop but its not going so well
sad,"woke up really late today just had breakfast planning to stay home, watch tv shows and do nothing eat too"
happy,what fun i got retweeted by a bot
happy,gonna give a guest lecture tomorrow  pes mandya on opengl
sad,going to sleep now51009 gt happy mothers dayamphappy birthday to me
happy,working again today but off tomorrow for dans party yay
neutral,that preview of a trailer for new moon was a joke14 seconds still watched it tho twice lol figured i missed something still sick
neutral,watching good morning america
sad,sloanyxxx thanks
sad,oxemalieexo lol it went okay as far as i can tell  but then i had to do a test today for geo and i was all zoned out and got like 65
happy,xocazza good stuff im great thanks x
sad,xoxojl whatever stupid aussies
happy, my hero
happy,morning peeps if you need to get at me you know where i am ill be around  
neutral,gemmiemitglee it is confusing and flippin expensive
neutral,"amj89 until twitter brings back our everyone button, access pt   or link in bottom of settings"
neutral,nicoleburgers im getting this assignment done
sad,well schools finally over and idk but im sad ill miss my teachers goodbye mrs r and mr collister
relief,filming the very last scene of afflicted  then its on to sound design soon soon
happy,going away party at ambers road trip tomorrow
happy,mamalaura night so cute that k loves frogs 
happy,shakedxit23 ill save you
neutral,russelldevon  not a heap hey just bout tu hit the sack its 115am here i need someone tu cuddle sucks wbu x
sad,"missjoladie haha, ive got my camera and lenses ready"
