happy,watching the rain and reminiscing about the time when everytime it rained i was with the love of my life
sad,taking a nap after workno sleep right now the nap felt soooo good but now it seems like a bad idea
happy,"lclaurenconrad the new series of the hills was on yesterday in uk , it was amazing you looked really pretty on your birthday too"
sad,i already miss my mohawk
sad,"i was awake 7 hours ago, should have checked twitter"
sad,crypticirnangel thats a bummer i havent got one yet  been waiting over a year grrrrrrrrrrrrrrr
happy,enjoying my weekend with my sis xx
happy,wude72 boulderdiaries thank you
sad,is envious of people not in longdistance relationshipsshes all mushy with no one to cuddle
sad,"big header folio  has been up 2 hours, no sales yet im really impatient lol"
anger,"computermuseum shame i dont still have my 286 compaq portable, which was really anything but portable lmao, last tweet 4 now, toodle pip"
happy,chantiparnell i wana be there num 1 fan sharsies
sad,just remembered i still have a summer project to do it never ends
happy,themadmodel soooo happy your back
happy,there is something wrong with me im so tired i can barely keep my eyes open yet all ive done for the last 3hrs is toss amp turn in bed
happy,perfectgrrl85 lol i dont know but you dont need the plant ill give you a hug instead hugs
sad,"why would someone even do something like that, you gotta be pretty damn desperate for attention lol poor keanu"
happy,heading to xs with nadia yeee
sad,pampian i want to know who is that 6 i tried to ask pkia but he still not reply me but now he change his status to away
happy,in study hall with brittneyy
happy,"stryperband  love the comeback, i will stay tuned you fellows should follow people on here though youll in turn get more followers"
happy,"im in the garden making pictures, weed an sweep the weather is nice see you l8ter people"
sad,ready for the trip not ready to leave my baby
relief,thank god camera fixed itself i want a new ipod
sad,late2thepartee feeling any better hon
sad,i think im running a fever and not feeling so well
sad,"i hate to say this, but cla really should have had a press conference or something today"
sad,jonmyers the problem is that im not finished with it but i have logged in mass hours this week on it and im not being paid pop
happy,thats the birthday boys ipod touch and dsi setup and sorted just to think i would have been happy with a ball  boots at that age
sad,meganwest no we had to go to malibu to find a beach
happy,lilmissopinion i just noticed that they are so ridiculous
sad,i know i shouldnt be saying this but fuck itim horny as hell 
sad,having a long island ice tea
sad,"ezrabutler  they have their headaches the morning after, instead"
happy,"i just got my neighbour to sign up, follow her on hannabornehag xoxo"
relief,"finally got to wash my hair i feel much better now, but i gotta dry it  effffffort"
relief,headed to drop my lil cuz off at the bus stop then its back to the bed to read my book relaxin on my day off
sad,"john, are you sure we arent mtb"
happy,dannysghirl hehe i found ya
sad,mollymaison moooooooooooooooo lol i copied that lastfm thing you had looks good
happy,"inkdmom i know, right i have such a lead foot"
sad,ankeshk ankeshk i dont think i like this roy williams who dissects frogs while still alive gt you look like chachi from happy days
sad,walkinghorse new constructions poping up all over there now
happy,is excited about so r and r for mothers day
happy,"ruff, ruff, says my sweet little mini chuweeny dog her name is ziggy and she is just too darn cute for her own good she says hey guys"
relief,finally gone
sad,"fuck im suppose to leave in 10 minutes, im naked, hair wet and no make up im going to look interesting today"
happy,such a fun night i needed the break ps i love you man is effing hilarious good night twitter world sweet dreams
happy,pimplepopper where did you get a copy i wanna watch that also
happy,kidb thanks again for coming out to support us you rock
sad,back to work
sad,i have to wait until i get home to watch the new moon trailer clip stupid work internet access restrictions
sad,andyclemmensen you didnt send me the text
happy,cager83 wow i love it  thanks
sad,"wow, almost got involved in this big fight at school ah, but anyways text me going to causins house, plus game crazy"
sad,"thank you, gerbino, for forcing us starting junior year to make survey mockups let me tell you how super helpful this skill has been"
happy,arikhanson i think your blog shouldve been on the list
sad, mary ann amp frances are gunna kill me
happy,donniewahlberg in toronto waiting for you 48 days to go
sad,got an a in english again yay but a d in maths
sad,"lacrimae pfft, there you go with the logic again"
happy,thequietone35 so it went well andrea
sad,hobbitgd whoaa kinda hard o that one that you think will be interesting enough to tell
sad,here at work still feeling the pain for my friend wish i had a magic wand to erase all the madness
happy,"ive knack my iphone, i got melted chocolate into the speaker, i now cant hear it when it rings"
