positive,does anyone else have a problem with twitter not showing them everyone they are following please help if you can 
negative,i dont know why i tweet cuz no reads my tweets 
positive,vonster glad i could help 
positive,eleusis7 from your favourite torrentwarez site 
negative,just da sight of ashley can make my worst days good ones i cant imagine school without her now i only come 2 school 2 see her now 
negative,jtged where 
positive,no more messages from 140mafia 
positive,jstbee quotfor aslanquot ahaha youre lucky i checked your twitter page you spelt musician wrong hahaha fail ill text you tmr 
negative,does not like the sun anymore ouch
positive,magolith dezfoo see you squabblers soon getting off bus and trooping towards potato plantation 
negative,bisforbecca but i get scared at anything 
positive,animalplanet i love its me or the dog great show 
negative,wishing i had an ipod on the bus on the way back home
negative,omg end of year 
positive,with nicole and just helped jack with his homework x
negative,morrrrrrrrrrrning i just went out to walk the dog and it is so freaking hot its 10 30 am and its not even summer yet 
negative,this weather is crap major sinus infection now i also miss being able to eat whatever i want whenever i wanted and not get sick 
positive,naps are my friends 
positive,  pink colts jersey ftw 
positive,is soooo relaxed 
positive,"im enjoying life so much at the moment, and i think it could get better really looking forward to this summer and onwards"
positive,nlsyt they are 
positive,miriamsays  yephe has oneadam some peeps are saying that adam is gay or bisexual 
negative,no luck catchin fish lost two lureslol
negative,"mauraaura wish you didnt, too "
positive,horseback riding in like and hour leaving soon lt3
negative,"on the bus to cardiff, i think im starting to get travel sickness "
positive,paperplatesburn thats because the effects keep reminding you what your arse is for  
positive,markhoppus and im on a boat 
positive,4 to 5 weeks of care freeness hurrraaaaayyy 
positive,batbunney yes we are and were hiring enthusiastic individuals to work with us if you are in the area 
negative,jeremycshipp me agree but me try to tell one of them and they throw stinky blue ice and me get hit in head 
positive,traut your day starts at 12 pm  
positive,tee2072 yep saw the twitter post first
negative,is loving this summer weather but not looking forward to the rain the rest of the week 
positive,nakuru can be soo boring wish i had friends here 
positive,niteskolar so do you have a quotsugar mamaquot to support you during those months i call my husband my quotsugar daddyquot since im not working 
negative,lusciousloulou ill try its hard at this time of year as were so busy hugs
positive,playing gardner outside its so relaxing when i do 
positive,despite all the surprise ruiners we still gonna have a great time tmo i love yall 
negative,beamarqz awwww well i hope im with at least one of you whatsmysection whatsmysection
negative,jetlags suck awake active in the morning and then suddenly it hits you 
negative,damienrandle no offense i just dont like hiphop anymore 
positive,good morning twitter addictsits going to be a beautiful day today am sooo happy for the winners of britain got talent sorry susan 
positive,vegaswalkindude you are funny im glad im following you you are spicing twitter up if only a tad 
negative,i cheated and didnt go running this morning 
negative,davidmlally aw man poor little guy feel better
positive,mamolind at this very minute lind    i am cooking tea    salmon amp cauliflower cheese 
negative,missing him an uncontrollable amount 
negative,headed home what a trip
positive, just had the best vegan lunch  linda mccartney sausages cold with relish amp sainsburys vegan bread mmmmmmmmmm 
positive,so bored nap time 
positive,taylorswift13 im watching your amazing one day i will meet you 
positive,"ok, im really going to bed now goodnight broads and boys "
positive,"tommcfly haha only thats ages, kinda, im sure it will fly by are you going to jump out a box for me on christmas "
positive,"em1234 no kidding im listening to my ipod, texting, and reading right now "
positive,twistedhelen i emailed you back baby how goes
negative,is in alaska its so frkn cold 
positive,daviddat1987 following manual by add node for each languagesi will followup again before have lunch 
positive,blackstarmedia thanks thanks for you amp all my followers who dealt with my blowup also sometimes you just cant take it anymore lol
positive,cant wait to get my new laptop 
negative,at times like this i miss h0me 
negative,glad jess is back in town now im sorting out the lee valley order that will allow me to work all summer long hooray 
positive,an old friend is in town going to meet him 
negative,desilynnsmom im actually going to get rid of the game no use having it if sam took the xbox 
negative,lilcaliboycp dude me too the sols r frkkn tommorow 
positive,oniracom ha funny 
positive,gonna watch up in 3d looks good 
positive,slowly coming to like chocolate ice cream 
positive,"micolz ok will do just dont drop it in any puddles, leave it spine down, or dogear "
negative,jonathanrknight heard auzzie was cnceled news dsnt travel fast in canada lol that sux but ull be able 2 get  
negative,harrietrobson apparently 
negative,back work  endspurt ins wochenende
positive,lincolnwrites its ok next time 
negative,i am drinking the most disgusting iced chai i feel bad returning it because the guy was really nice
positive,mileycyrus am going to go vote on mtv right now hahai already voted yesterday to haha 
negative,has a head ache 
negative,aand the lack of responses just makes me realize how friendless in new york i am 
negative,ughhh and he is in my group today 
negative,"hates when its sunny, than becomes cloudy resulting in kristen getting a headache "
positive,"scottharrison  founder, president of charity water wwwcharitywaterorg  love people that act and think big "
positive,trying to learn a line dance 
positive,grannny63 yes i saw you there 
negative,bradiewebbstack i wish you called me 
positive,lamb chowmein for dinner tonight hhhmmm with slightly roasted buttered dinner rolls yum yum yum so hungry 
negative,madcowpaula i know i know they said that they were in grumpy mood last we they said they wanted to take me outbut no reply 
negative,"donaldverger believe unless mracl occrs we will nvr know batt in box, the depth, and the sqmi areaand i fly every wk and wnna know "
positive,"bgt tonight, should be good "
negative,jonodown did that chick go on the bbq too ohhhh 
negative,listening to the new jonasbrothers album itsits just not the same their old stuff was somuchbetter 
positive,ponet good morning ponet its sunny and the birds are chirping here in houston how fares it in your burg cheers 
positive,i am going to watch the quiz show season 2 now 
positive,yaayyy just bot my 1st lakers jersey 
negative,it is raining super hard i hope it stops soon we need to drive to dc tonight 
positive,vickybonnett lmao well thanks for that hope ur day is great as well 
positive,billymcflurry ur my cookie billymccookieface  haha 
negative,millstone that sucks so much im sorry
positive,hanging out with vanessa 
negative,miiru i failed sleep took me tomorrow ill need a reader today you can look here  glad mums ok
negative,dat305boi uggh wher were u wen i was tryna ichat she the only one who hit me 
negative,back to business stuff that didnt take long away trying to grab the universitys available support before i disappear home 
negative,"ordered a 3gs online, now i have to wait for it to arrive "
negative,ive sent apple support about 20 crash reports about mail 
negative,nooo my computer battery is gunna be ruined soon didnt realize i left it plugged in alll day 
negative,themusicwhore91 helgevakt ja 
positive,"muhrisahh i watched it, and thought of you "
negative,"thekelliejane oh damnit, i was hoping to delude myself a little longer looks like ill have to use kitten pictures to get through work "
positive,one of my alltime favorites  
negative,fotoluna over a month for a new lens  djeez 
negative,antonykd they are dopebut i wasnt trying to camp so i asked my homies but im coming up short 
positive,conversationage change agent people who understand the process of transformation and develop plans to guide orgs in new directions 
positive,yourstargirl09 hey giniim good still not over last weekend bring on camping out 09  xx
negative,"is exhausted and will be packing all day tomorrow, as well as going to the apple store to get my disk drive replaced again "
positive,"4ut i am ok, i think i will just take the attitude that mothers day is an invented hallmark holiday from now on "
positive,"trondheimtravel ah, come on, dont make racist jokes  its beneath you "
negative,this thing wont let me put a pic on 
positive,waiting for my croissants to cook 
negative,nooo please dont let it storm now 
positive,"heatherdune well done, heather good luck with the novel amp i hope you get lots more kindle sales "
positive,"spent all of yesterday diying away in my study cant get the fine drill dust out now, darn at least i have an even funkier workspace "
